,6-base_instance_uncertain_time-results-,converged_iterations,total_time,min
Mk04_100_25,71,0,0,0
Mk04_100_50,71,0,0,0
Mk04_100_75,69,0,0,0
Mk04_25_25,68,0,0,0
Mk04_25_50,69,0,0,0
Mk04_25_75,67,0,0,0
Mk04_50_25,70,0,0,0
Mk04_50_50,71,0,0,0
Mk04_50_75,69,0,0,0
Mk04_75_25,70,0,0,0
Mk04_75_50,74,0,0,0
Mk04_75_75,78,0,0,0
Mk06_100_25,77,0,0,0
Mk06_100_50,80,0,0,0
Mk06_100_75,78,0,0,0
Mk06_25_25,75,0,0,0
Mk06_25_50,77,0,0,0
Mk06_25_75,77,0,0,0
Mk06_50_25,75,0,0,0
Mk06_50_50,77,0,0,0
Mk06_50_75,77,0,0,0
Mk06_75_25,80,0,0,0
Mk06_75_50,78,0,0,0
Mk06_75_75,80,0,0,0
Mk07_100_25,159,0,0,0
Mk07_100_50,170,0,0,0
Mk07_100_75,170,0,0,0
Mk07_25_25,163,0,0,0
Mk07_25_50,156,0,0,0
Mk07_25_75,163,0,0,0
Mk07_50_25,155,0,0,0
Mk07_50_50,158,0,0,0
Mk07_50_75,157,0,0,0
Mk07_75_25,159,0,0,0
Mk07_75_50,165,0,0,0
Mk07_75_75,154,0,0,0
Mk10_100_25,238,0,0,0
Mk10_100_50,239,0,0,0
Mk10_100_75,233,0,0,0
Mk10_25_25,242,0,0,0
Mk10_25_50,241,0,0,0
Mk10_25_75,225,0,0,0
Mk10_50_25,238,0,0,0
Mk10_50_50,244,0,0,0
Mk10_50_75,243,0,0,0
Mk10_75_25,239,0,0,0
Mk10_75_50,248,0,0,0
Mk10_75_75,245,0,0,0
