,6-base_instance_uncertain_time-results2-,converged_iterations,total_time,min
Mk04_100_25,84.0,30.0,2.6087660789489746,71.0
Mk04_100_50,85.0,30.0,2.7025253772735596,70.0
Mk04_100_75,94.0,30.0,2.6087327003479004,68.0
Mk04_25_25,80.0,30.0,2.718113422393799,70.0
Mk04_25_50,85.0,30.0,2.7025234699249268,67.0
Mk04_25_75,84.0,30.0,2.686873435974121,66.0
Mk04_50_25,84.0,30.0,2.7024927139282227,69.0
Mk04_50_50,88.0,30.0,2.671217441558838,70.0
Mk04_50_75,95.0,30.0,2.811811923980713,72.0
Mk04_75_25,79.0,30.0,2.640007257461548,70.0
Mk04_75_50,91.0,30.0,2.7181143760681152,73.0
Mk04_75_75,97.0,30.0,2.6556341648101807,76.0
Mk06_100_25,93.0,30.0,4.327110767364502,77.0
Mk06_100_50,90.0,30.0,4.452084541320801,76.0
Mk06_100_75,94.0,30.0,4.452050685882568,77.0
Mk06_25_25,90.0,30.0,4.327082633972168,75.0
Mk06_25_50,93.0,30.0,4.358353137969971,74.0
Mk06_25_75,89.0,30.0,4.358323812484741,77.0
Mk06_50_25,94.0,30.0,4.3427324295043945,77.0
Mk06_50_50,90.0,30.0,4.3895957469940186,74.0
Mk06_50_75,93.0,30.0,4.29587197303772,78.0
Mk06_75_25,96.0,30.0,4.2802510261535645,79.0
Mk06_75_50,97.0,30.0,4.34273624420166,80.0
Mk06_75_75,95.0,30.0,4.358352899551392,80.0
Mk07_100_25,189.0,30.0,3.2336182594299316,165.0
Mk07_100_50,196.0,30.0,3.2961044311523438,169.0
Mk07_100_75,205.0,30.0,3.1086478233337402,170.0
Mk07_25_25,186.0,30.0,3.2648961544036865,164.0
Mk07_25_50,177.0,30.0,3.171165943145752,156.0
Mk07_25_75,198.0,30.0,3.233623504638672,167.0
Mk07_50_25,182.0,30.0,3.2961020469665527,157.0
Mk07_50_50,187.0,30.0,3.2024097442626953,158.0
Mk07_50_75,181.0,30.0,3.2052650451660156,158.0
Mk07_75_25,186.0,30.0,3.249239921569824,161.0
Mk07_75_50,202.0,30.0,3.2179954051971436,167.0
Mk07_75_75,192.0,30.0,3.1867568492889404,149.0
Mk10_100_25,270.0,30.0,7.873126029968262,234.0
Mk10_100_50,270.0,30.0,7.607560873031616,243.0
Mk10_100_75,267.0,30.0,7.576351165771484,240.0
Mk10_25_25,278.0,30.0,7.826294422149658,241.0
Mk10_25_50,280.0,30.0,7.732536554336548,240.0
Mk10_25_75,285.0,30.0,7.810675621032715,245.0
Mk10_50_25,275.0,30.0,7.670083045959473,238.0
Mk10_50_50,285.0,30.0,7.467033863067627,240.0
Mk10_50_75,279.0,30.0,7.9209980964660645,237.0
Mk10_75_25,277.0,30.0,7.68426251411438,240.0
Mk10_75_50,287.0,30.0,7.498245000839233,244.0
Mk10_75_75,285.0,30.0,7.638837814331055,243.0
