,episode,make_span,reward,min_make_span
0,0.0,203.0,-53.42105263157895,203.0
1,0.0,192.0,-50.52631578947369,192.0
2,0.0,218.0,-57.36842105263157,192.0
3,0.0,205.0,-53.94736842105265,192.0
4,0.0,209.0,-55.000000000000014,192.0
5,0.0,212.0,-55.78947368421055,192.0
6,0.0,217.0,-57.10526315789473,192.0
7,0.0,209.0,-55.00000000000001,192.0
8,0.0,197.0,-51.84210526315792,192.0
9,1.0,229.0,-60.26315789473684,192.0
10,1.0,216.0,-56.8421052631579,192.0
11,1.0,221.0,-58.1578947368421,192.0
12,1.0,224.0,-58.94736842105264,192.0
13,1.0,215.0,-56.57894736842105,192.0
14,1.0,208.0,-54.736842105263165,192.0
15,1.0,218.0,-57.36842105263156,192.0
16,1.0,222.0,-58.421052631578966,192.0
17,1.0,216.0,-56.84210526315789,192.0
18,2.0,207.0,-54.47368421052632,192.0
19,2.0,214.0,-56.315789473684234,192.0
20,2.0,205.0,-53.94736842105265,192.0
21,2.0,225.0,-59.210526315789465,192.0
22,2.0,204.0,-53.684210526315795,192.0
23,2.0,210.0,-55.263157894736835,192.0
24,2.0,217.0,-57.10526315789476,192.0
25,2.0,216.0,-56.8421052631579,192.0
26,2.0,218.0,-57.36842105263159,192.0
27,3.0,232.0,-61.05263157894739,192.0
28,3.0,199.0,-52.3684210526316,192.0
29,3.0,213.0,-56.05263157894738,192.0
30,3.0,214.0,-56.31578947368422,192.0
31,3.0,205.0,-53.94736842105263,192.0
32,3.0,219.0,-57.63157894736841,192.0
33,3.0,197.0,-51.842105263157904,192.0
34,3.0,223.0,-58.68421052631579,192.0
35,3.0,210.0,-55.26315789473684,192.0
36,4.0,206.0,-54.21052631578946,192.0
37,4.0,230.0,-60.52631578947369,192.0
38,4.0,217.0,-57.10526315789473,192.0
39,4.0,200.0,-52.63157894736846,192.0
40,4.0,200.0,-52.63157894736843,192.0
41,4.0,220.0,-57.89473684210526,192.0
42,4.0,198.0,-52.10526315789474,192.0
43,4.0,218.0,-57.36842105263158,192.0
44,4.0,205.0,-53.947368421052616,192.0
45,5.0,201.0,-52.89473684210528,192.0
46,5.0,197.0,-51.842105263157876,192.0
47,5.0,203.0,-53.42105263157896,192.0
48,5.0,214.0,-56.3157894736842,192.0
49,5.0,207.0,-54.47368421052632,192.0
50,5.0,204.0,-53.684210526315795,192.0
51,5.0,201.0,-52.894736842105274,192.0
52,5.0,207.0,-54.4736842105263,192.0
53,5.0,202.0,-53.1578947368421,192.0
54,6.0,201.0,-52.894736842105274,192.0
55,6.0,204.0,-53.6842105263158,192.0
56,6.0,207.0,-54.47368421052631,192.0
