,episode,make_span,reward,min_make_span
0,0.0,514.0,-28.24175824175825,514.0
1,0.0,506.0,-27.802197802197806,506.0
2,0.0,561.0,-30.824175824175835,506.0
3,0.0,524.0,-28.791208791208796,506.0
4,0.0,536.0,-29.45054945054946,506.0
5,0.0,569.0,-31.263736263736266,506.0
6,0.0,533.0,-29.285714285714285,506.0
7,0.0,498.0,-27.362637362637376,498.0
8,0.0,535.0,-29.395604395604405,498.0
9,1.0,546.0,-30.000000000000004,498.0
10,1.0,512.0,-28.13186813186814,498.0
11,1.0,565.0,-31.043956043956047,498.0
12,1.0,526.0,-28.9010989010989,498.0
13,1.0,542.0,-29.78021978021978,498.0
14,1.0,574.0,-31.538461538461537,498.0
15,1.0,551.0,-30.274725274725277,498.0
16,1.0,549.0,-30.164835164835164,498.0
17,1.0,548.0,-30.10989010989011,498.0
18,2.0,551.0,-30.27472527472528,498.0
19,2.0,527.0,-28.956043956043963,498.0
20,2.0,530.0,-29.120879120879124,498.0
21,2.0,551.0,-30.274725274725277,498.0
22,2.0,531.0,-29.17582417582418,498.0
23,2.0,521.0,-28.626373626373628,498.0
24,2.0,532.0,-29.230769230769237,498.0
25,2.0,509.0,-27.967032967032974,498.0
26,2.0,501.0,-27.52747252747253,498.0
27,3.0,526.0,-28.90109890109891,498.0
28,3.0,561.0,-30.824175824175832,498.0
29,3.0,548.0,-30.109890109890113,498.0
30,3.0,530.0,-29.12087912087912,498.0
31,3.0,528.0,-29.010989010989018,498.0
32,3.0,507.0,-27.857142857142865,498.0
33,3.0,514.0,-28.24175824175825,498.0
34,3.0,556.0,-30.54945054945055,498.0
35,3.0,510.0,-28.021978021978025,498.0
36,4.0,522.0,-28.681318681318682,498.0
37,4.0,510.0,-28.02197802197802,498.0
38,4.0,549.0,-30.164835164835164,498.0
39,4.0,542.0,-29.780219780219788,498.0
40,4.0,528.0,-29.010989010989015,498.0
41,4.0,517.0,-28.406593406593405,498.0
42,4.0,543.0,-29.83516483516484,498.0
43,4.0,556.0,-30.549450549450555,498.0
44,4.0,532.0,-29.23076923076924,498.0
45,5.0,506.0,-27.802197802197806,498.0
46,5.0,526.0,-28.901098901098905,498.0
47,5.0,548.0,-30.10989010989012,498.0
48,5.0,500.0,-27.47252747252747,498.0
49,5.0,539.0,-29.61538461538462,498.0
50,5.0,560.0,-30.76923076923078,498.0
51,5.0,559.0,-30.714285714285722,498.0
52,5.0,537.0,-29.50549450549451,498.0
53,5.0,549.0,-30.164835164835175,498.0
54,6.0,544.0,-29.890109890109894,498.0
55,6.0,531.0,-29.175824175824182,498.0
56,6.0,514.0,-28.241758241758248,498.0
57,6.0,494.0,-27.142857142857142,494.0
58,6.0,518.0,-28.461538461538463,494.0
59,6.0,566.0,-31.098901098901106,494.0
60,6.0,531.0,-29.17582417582418,494.0
61,6.0,494.0,-27.14285714285715,494.0
62,6.0,559.0,-30.714285714285726,494.0
63,7.0,537.0,-29.505494505494507,494.0
64,7.0,532.0,-29.23076923076924,494.0
65,7.0,535.0,-29.3956043956044,494.0
66,7.0,513.0,-28.18681318681319,494.0
67,7.0,535.0,-29.395604395604398,494.0
68,7.0,529.0,-29.065934065934076,494.0
69,7.0,535.0,-29.395604395604398,494.0
70,7.0,545.0,-29.945054945054945,494.0
71,7.0,540.0,-29.67032967032968,494.0
72,8.0,542.0,-29.780219780219785,494.0
73,8.0,568.0,-31.208791208791215,494.0
74,8.0,524.0,-28.7912087912088,494.0
75,8.0,534.0,-29.34065934065935,494.0
76,8.0,568.0,-31.20879120879122,494.0
77,8.0,560.0,-30.76923076923076,494.0
78,8.0,529.0,-29.065934065934076,494.0
79,8.0,541.0,-29.725274725274726,494.0
80,8.0,558.0,-30.659340659340657,494.0
81,9.0,580.0,-31.868131868131876,494.0
82,9.0,538.0,-29.56043956043957,494.0
83,9.0,503.0,-27.637362637362642,494.0
84,9.0,558.0,-30.659340659340653,494.0
85,9.0,493.0,-27.08791208791209,493.0
86,9.0,556.0,-30.549450549450558,493.0
87,9.0,552.0,-30.329670329670336,493.0
88,9.0,559.0,-30.714285714285722,493.0
89,9.0,523.0,-28.736263736263734,493.0
90,10.0,515.0,-28.2967032967033,493.0
91,10.0,513.0,-28.186813186813193,493.0
92,10.0,533.0,-29.285714285714292,493.0
93,10.0,509.0,-27.967032967032974,493.0
94,10.0,528.0,-29.010989010989025,493.0
95,10.0,521.0,-28.626373626373628,493.0
96,10.0,547.0,-30.054945054945062,493.0
97,10.0,563.0,-30.93406593406594,493.0
98,10.0,507.0,-27.85714285714286,493.0
99,11.0,529.0,-29.065934065934073,493.0
100,11.0,504.0,-27.692307692307697,493.0
101,11.0,567.0,-31.153846153846164,493.0
102,11.0,505.0,-27.74725274725275,493.0
103,11.0,526.0,-28.901098901098905,493.0
104,11.0,510.0,-28.021978021978022,493.0
105,11.0,506.0,-27.802197802197803,493.0
106,11.0,527.0,-28.956043956043967,493.0
107,11.0,533.0,-29.28571428571429,493.0
108,12.0,526.0,-28.9010989010989,493.0
109,12.0,506.0,-27.8021978021978,493.0
110,12.0,530.0,-29.120879120879124,493.0
111,12.0,550.0,-30.219780219780223,493.0
112,12.0,522.0,-28.681318681318686,493.0
113,12.0,530.0,-29.12087912087913,493.0
114,12.0,546.0,-30.0,493.0
115,12.0,514.0,-28.241758241758244,493.0
116,12.0,505.0,-27.74725274725275,493.0
117,13.0,563.0,-30.93406593406594,493.0
118,13.0,538.0,-29.56043956043957,493.0
119,13.0,545.0,-29.945054945054956,493.0
120,13.0,518.0,-28.461538461538467,493.0
121,13.0,534.0,-29.34065934065935,493.0
122,13.0,518.0,-28.461538461538467,493.0
123,13.0,513.0,-28.186813186813197,493.0
124,13.0,540.0,-29.67032967032968,493.0
125,13.0,537.0,-29.505494505494507,493.0
126,14.0,527.0,-28.95604395604396,493.0
127,14.0,535.0,-29.395604395604398,493.0
128,14.0,523.0,-28.736263736263737,493.0
129,14.0,530.0,-29.120879120879128,493.0
130,14.0,539.0,-29.615384615384613,493.0
131,14.0,525.0,-28.84615384615385,493.0
132,14.0,555.0,-30.4945054945055,493.0
133,14.0,517.0,-28.406593406593412,493.0
134,14.0,554.0,-30.439560439560445,493.0
135,15.0,521.0,-28.62637362637363,493.0
136,15.0,557.0,-30.604395604395606,493.0
137,15.0,535.0,-29.3956043956044,493.0
138,15.0,546.0,-30.000000000000004,493.0
139,15.0,520.0,-28.571428571428577,493.0
140,15.0,512.0,-28.13186813186813,493.0
141,15.0,509.0,-27.967032967032974,493.0
142,15.0,527.0,-28.95604395604396,493.0
143,15.0,565.0,-31.043956043956047,493.0
144,16.0,530.0,-29.120879120879124,493.0
145,16.0,516.0,-28.351648351648354,493.0
146,16.0,512.0,-28.13186813186813,493.0
147,16.0,558.0,-30.659340659340664,493.0
148,16.0,550.0,-30.219780219780223,493.0
149,16.0,532.0,-29.230769230769234,493.0
150,16.0,547.0,-30.054945054945055,493.0
151,16.0,572.0,-31.42857142857143,493.0
152,16.0,526.0,-28.901098901098912,493.0
153,17.0,540.0,-29.67032967032967,493.0
154,17.0,528.0,-29.010989010989015,493.0
155,17.0,537.0,-29.505494505494504,493.0
156,17.0,554.0,-30.43956043956045,493.0
157,17.0,523.0,-28.736263736263744,493.0
158,17.0,496.0,-27.252747252747252,493.0
159,17.0,557.0,-30.604395604395606,493.0
160,17.0,526.0,-28.901098901098905,493.0
161,17.0,535.0,-29.3956043956044,493.0
162,18.0,499.0,-27.41758241758242,493.0
163,18.0,546.0,-30.000000000000007,493.0
164,18.0,529.0,-29.06593406593407,493.0
165,18.0,509.0,-27.96703296703297,493.0
166,18.0,530.0,-29.120879120879124,493.0
167,18.0,544.0,-29.890109890109898,493.0
168,18.0,547.0,-30.054945054945055,493.0
169,18.0,508.0,-27.912087912087912,493.0
170,18.0,542.0,-29.780219780219777,493.0
171,19.0,535.0,-29.3956043956044,493.0
172,19.0,509.0,-27.96703296703297,493.0
173,19.0,500.0,-27.472527472527474,493.0
174,19.0,544.0,-29.890109890109894,493.0
175,19.0,525.0,-28.846153846153854,493.0
176,19.0,545.0,-29.94505494505495,493.0
