,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
Mk04_100_25,81,79,84,78,82,89
Mk04_100_50,92,77,88,80,77,87
Mk04_100_75,100,88,86,86,79,79
Mk04_25_25,80,75,95,81,75,86
Mk04_25_50,77,83,96,78,75,87
Mk04_25_75,82,82,90,74,74,82
Mk04_50_25,98,84,86,81,75,93
Mk04_50_50,93,81,102,89,83,92
Mk04_50_75,90,93,91,82,82,89
Mk04_75_25,96,83,90,76,76,95
Mk04_75_50,95,93,99,86,85,96
Mk04_75_75,101,91,103,87,82,92
Mk06_100_25,81,121,85,116,106,126
Mk06_100_50,74,111,95,114,117,107
Mk06_100_75,75,120,93,125,112,106
Mk06_25_25,85,117,92,109,114,121
Mk06_25_50,81,116,93,113,111,107
Mk06_25_75,79,122,84,108,114,106
Mk06_50_25,83,116,88,115,106,108
Mk06_50_50,79,114,87,109,105,101
Mk06_50_75,88,113,86,113,124,114
Mk06_75_25,85,113,93,122,107,112
Mk06_75_50,83,107,86,110,110,113
Mk06_75_75,81,117,94,122,115,109
Mk07_100_25,233,268,217,218,205,222
Mk07_100_50,236,273,244,212,220,223
Mk07_100_75,180,279,234,217,227,235
Mk07_25_25,238,279,219,220,211,209
Mk07_25_50,222,266,224,228,221,229
Mk07_25_75,201,270,236,207,207,208
Mk07_50_25,207,268,216,216,218,227
Mk07_50_50,224,264,240,224,223,209
Mk07_50_75,185,271,206,227,218,216
Mk07_75_25,204,270,231,223,221,219
Mk07_75_50,229,270,209,221,217,223
Mk07_75_75,180,269,222,213,227,225
Mk10_100_25,370,297,283,269,266,311
Mk10_100_50,322,301,292,277,269,293
Mk10_100_75,351,289,289,270,276,346
Mk10_25_25,346,287,279,268,271,314
Mk10_25_50,342,281,300,270,263,302
Mk10_25_75,312,283,276,273,270,311
Mk10_50_25,369,288,288,264,262,303
Mk10_50_50,311,287,295,274,262,315
Mk10_50_75,336,298,297,267,274,304
Mk10_75_25,349,287,295,263,264,285
Mk10_75_50,348,291,291,270,262,308
Mk10_75_75,320,301,292,276,282,319
